x	f(x)
8.0	-0.03598791458313316
8.5	-0.08897316779614038
9.0	-0.1201746864849446
9.5	-0.1219532506835197
10.0	-0.09387340584645952
10.5	-0.042810077308701566
11.0	0.018734651207869043
11.5	0.07569248371495013
12.0	0.11411815634095346
12.5	0.1246037242848499
13.0	0.10458195481700701
13.5	0.05895487538677452
14.0	-0.0011064136613004845
14.5	-0.06089681405756369
15.0	-0.10577755052189633
15.5	-0.12476025349742453
16.0	-0.11319729525082797
16.5	-0.07391969123314054
17.0	-0.01654396876222163
17.5	0.044882294252771036
18.0	0.09531980630995034
