x	y
8.0	0.04508582383614763
8.5	0.04147750484793024
9.0	0.03793934981779971
9.5	0.03447138216125737
10.0	0.031073339446920128
10.5	0.02774472795026417
11.0	0.024484867653534536
11.5	0.02129292944252799
12.0	0.018167965906459922
12.5	0.015108936875662483
13.0	0.01211473061680307
13.5	0.009184181434075645
14.0	0.006316084287819565
14.5	0.0035092069319171467
15.0	0.0007622999824508837
15.5	-0.0019258947419184857
16.0	-0.004556637325991759
16.5	-0.007131184076471843
17.0	-0.009650782857996035
17.5	-0.012116669284185078
18.0	-0.014530063627715481
